s1,s2,distance
0,22,384.74417111682754
1,29,307.1442163811879
2,16,339.8846852218694
3,21,362.56537556731826
4,28,166.92778027928918
5,8,214.0111336808417
6,14,247.21529595790696
7,26,209.68893088607294
9,48,359.5876875505162
10,8,359.08617882319123
11,40,391.21322096437467
12,48,344.9664918592288
13,45,222.35943979307953
14,23,219.32264787102093
15,29,320.9067435166014
16,24,240.05838809116543
17,1,323.62032682800344
18,42,390.14991369590933
19,24,218.20403703013392
20,23,345.631258476421
21,19,237.33033196464433
25,29,329.24300977933655
27,26,226.03288223253548
30,40,281.4487353549467
31,12,351.02000825183194
32,11,418.5067416817422
34,30,289.2073850255982
36,18,404.13243158487495
37,44,226.17624449493306
38,4,340.2402460161062
39,4,198.94859721988502
41,10,407.9097972634094
42,13,251.89459252819344
43,10,381.98728098292025
46,45,349.4272781222168
47,8,227.25624814983945
